Tipo NI;CNPJ;Período de Apuração;Data de Transmissão;Hora Transmissão;Categoria;Origem;Tipo;Situação;Débito Apurado;Saldo a Pagar
CNPJ;3,72545E+12;01/09/2025;;;Geral;eSocial, REINF CP;Retificadora;Em andamento;R$ 7.138,24;R$ 7.138,24
CNPJ;3,72545E+12;01/09/2025;29/09/2025;13:32:04;Geral;eSocial;Original;Ativa;R$ 7.138,24;R$ 7.138,24
CNPJ;3,72545E+12;01/08/2025;30/09/2025;15:50:28;Geral;eSocial, REINF CP, MIT;Retificadora;Ativa;R$ 8.362,15;R$ 8.362,15
CNPJ;3,72545E+12;01/07/2025;21/08/2025;17:22:49;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 7.009,60;R$ 7.009,60
CNPJ;3,72545E+12;01/06/2025;14/07/2025;21:00:17;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 12.596,82;R$ 12.596,82
CNPJ;3,72545E+12;01/05/2025;23/06/2025;18:25:17;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 6.924,08;R$ 6.924,08
CNPJ;3,59705E+12;01/09/2025;10/10/2025;09:46:56;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 153.984,21;R$ 152.746,41
CNPJ;3,59705E+12;ago/25;30/09/2025;08:54:17;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 150.158,25;R$ 146.400,58
CNPJ;3,59705E+12;01/07/2025;20/08/2025;13:37:03;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 149.219,72;R$ 145.462,05
CNPJ;3,59705E+12;01/06/2025;28/07/2025;17:02:30;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 417.033,19;R$ 413.210,52
CNPJ;3,59705E+12;01/05/2025;18/06/2025;14:26:07;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 152.209,03;R$ 149.617,65
CNPJ;4,65993E+12;01/08/2025;03/09/2025;09:26:13;Geral;eSocial;Original;Ativa;R$ 771,20;R$ 771,20
CNPJ;4,65993E+12;01/06/2025;04/07/2025;10:04:53;Geral;eSocial;Original;Ativa;R$ 740,48;R$ 740,48
CNPJ;4,65993E+12;01/05/2025;05/06/2025;08:31:56;Geral;eSocial;Original;Ativa;R$ 783,84;R$ 783,84
CNPJ;4,63557E+12;01/09/2025;07/10/2025;11:27:00;Geral;eSocial;Original;Ativa;R$ 15.640,93;R$ 14.142,56
CNPJ;4,63557E+12;01/08/2025;08/09/2025;16:42:28;Geral;eSocial;Original;Ativa;R$ 15.709,59;R$ 13.891,99
CNPJ;4,63557E+12;01/07/2025;04/08/2025;15:37:28;Geral;eSocial;Original;Ativa;R$ 16.162,63;R$ 13.152,77
CNPJ;4,63557E+12;01/06/2025;07/07/2025;16:40:47;Geral;eSocial;Original;Ativa;R$ 15.953,17;R$ 12.943,31
CNPJ;4,63557E+12;01/05/2025;05/06/2025;18:08:57;Geral;eSocial;Original;Ativa;R$ 16.052,87;R$ 12.979,11
CNPJ;5,12573E+12;01/07/2025;22/08/2025;20:45:07;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 104.070,47;R$ 103.842,97
CNPJ;5,12573E+12;01/05/2025;23/06/2025;23:17:19;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 98.532,36;R$ 98.337,36
CNPJ;4,96386E+12;01/09/2025;24/09/2025;16:35:43;Geral;eSocial;Original;Ativa;R$ 1.083,42;R$ 1.083,42
CNPJ;4,96386E+12;01/08/2025;27/08/2025;17:30:49;Geral;eSocial;Original;Ativa;R$ 1.083,42;R$ 1.083,42
CNPJ;4,96386E+12;01/07/2025;29/07/2025;15:38:32;Geral;eSocial;Original;Ativa;R$ 1.083,42;R$ 1.083,42
CNPJ;4,96386E+12;01/06/2025;26/06/2025;18:07:33;Geral;eSocial;Original;Ativa;R$ 1.083,42;R$ 1.083,42
CNPJ;4,96386E+12;01/05/2025;27/05/2025;09:11:47;Geral;eSocial;Original;Ativa;R$ 1.083,42;R$ 1.083,42
